t,x,dx,ddx,f,x2,dx2,xdx,c
0,-0.000002,-0.000014,0.014628,0,4.00E-12,0.000213978,2.80E-11,1
0,-0.000002,-0.000013,0.014266,0,4.00E-12,0.000203519,2.60E-11,1
0,-0.000002,-0.000013,0.013894,0,4.00E-12,0.000193043,2.60E-11,1
0,-0.000002,-0.000012,0.013515,0,4.00E-12,0.000182655,2.40E-11,1
0,-0.000002,-0.000011,0.013132,0,4.00E-12,0.000172449,2.20E-11,1
0,-0.000002,-0.00001,0.012746,0,4.00E-12,0.000162461,2.00E-11,1
0,-0.000002,-0.00001,0.012359,0,4.00E-12,0.000152745,2.00E-11,1
0,-0.000002,-0.000009,0.011973,0,4.00E-12,0.000143353,1.80E-11,1
0,-0.000002,-0.000009,0.011588,0,4.00E-12,0.000134282,1.80E-11,1
0,-0.000002,-0.000008,0.011207,0,4.00E-12,0.000125597,1.60E-11,1
0,-0.000002,-0.000008,0.01083,0,4.00E-12,0.000117289,1.60E-11,1
0,-0.000002,-0.000007,0.010457,0,4.00E-12,0.000109349,1.40E-11,1
0,-0.000002,-0.000007,0.010091,0,4.00E-12,0.000101828,1.40E-11,1
0,-0.000002,-0.000006,0.00973,0,4.00E-12,9.47E-05,1.20E-11,1
0,-0.000002,-0.000006,0.009377,0,4.00E-12,8.79E-05,1.20E-11,1
0,-0.000002,-0.000006,0.009031,0,4.00E-12,8.16E-05,1.20E-11,1
0,-0.000002,-0.000005,0.008692,0,4.00E-12,7.56E-05,1.00E-11,1
0,-0.000002,-0.000005,0.008362,0,4.00E-12,6.99E-05,1.00E-11,1
0,-0.000002,-0.000005,0.00804,0,4.00E-12,6.46E-05,1.00E-11,1
0,-0.000002,-0.000004,0.007727,0,4.00E-12,5.97E-05,8.00E-12,1
0,-0.000002,-0.000004,0.007422,0,4.00E-12,5.51E-05,8.00E-12,1
0,-0.000002,-0.000004,0.007126,0,4.00E-12,5.08E-05,8.00E-12,1
0,-0.000002,-0.000004,0.006839,0,4.00E-12,4.68E-05,8.00E-12,1
0,-0.000002,-0.000003,0.006561,0,4.00E-12,4.30E-05,6.00E-12,1
0,-0.000002,-0.000003,0.006291,0,4.00E-12,3.96E-05,6.00E-12,1
0,-0.000002,-0.000003,0.00603,0,4.00E-12,3.64E-05,6.00E-12,1
0,-0.000002,-0.000003,0.005778,0,4.00E-12,3.34E-05,6.00E-12,1
0,-0.000002,-0.000003,0.005535,0,4.00E-12,3.06E-05,6.00E-12,1
0,-0.000002,-0.000003,0.005299,0,4.00E-12,2.81E-05,6.00E-12,1
0,-0.000002,-0.000002,0.005072,0,4.00E-12,2.57E-05,4.00E-12,1
0,-0.000002,-0.000002,0.004854,0,4.00E-12,2.36E-05,4.00E-12,1
0,-0.000002,-0.000002,0.004643,0,4.00E-12,2.16E-05,4.00E-12,1
0,-0.000002,-0.000002,0.00444,0,4.00E-12,1.97E-05,4.00E-12,1
0,-0.000002,-0.000002,0.004245,0,4.00E-12,1.80E-05,4.00E-12,1
0,-0.000002,-0.000002,0.004057,0,4.00E-12,1.65E-05,4.00E-12,1
0,-0.000002,-0.000002,0.003876,0,4.00E-12,1.50E-05,4.00E-12,1
0,-0.000002,-0.000002,0.003703,0,4.00E-12,1.37E-05,4.00E-12,1
0,-0.000002,-0.000001,0.003536,0,4.00E-12,1.25E-05,2.00E-12,1
0,-0.000002,-0.000001,0.003376,0,4.00E-12,1.14E-05,2.00E-12,1
0,-0.000002,-0.000001,0.003223,0,4.00E-12,1.04E-05,2.00E-12,1
0,-0.000002,-0.000001,0.003075,0,4.00E-12,9.46E-06,2.00E-12,1
0,-0.000002,0.000059,0.038934,0,4.00E-12,0.001515856,-1.18E-10,1
0,-0.000002,-0.000005,-0.001521,0,4.00E-12,2.31E-06,1.00E-11,1
0,-0.000002,0.000056,0.034738,0,4.00E-12,0.001206729,-1.12E-10,1
0,-0.000002,-0.000008,-0.005348,0,4.00E-12,2.86E-05,1.60E-11,1
0,-0.000002,0.000053,0.03125,0,4.00E-12,0.000976563,-1.06E-10,1
0,-0.000002,-0.00001,-0.008523,0,4.00E-12,7.26E-05,2.00E-11,1
0,-0.000002,0.00005,0.028363,0,4.00E-12,0.00080446,-1.00E-10,1
0,-0.000002,0.000047,0.024854,0,4.00E-12,0.000617721,-9.40E-11,1
0,-0.000002,0.000044,0.021664,0,4.00E-12,0.000469329,-8.80E-11,1
0,-0.000002,0.000042,0.018767,0,4.00E-12,0.0003522,-8.40E-11,1
0,-0.000002,0.000039,0.01614,0,4.00E-12,0.0002605,-7.80E-11,1
0,-0.000002,0.000037,0.013761,0,4.00E-12,0.000189365,-7.40E-11,1
