alpha,Stiffness (K),Viscosity (D),Mass (M),(K2),(KD),(D2),bias
,,,,,,,
1.00E-08,1558.352723,-0.566408704,0.049467306,127144.9722,871.6376193,-0.015418792,-0.078563483
,,,,,,,
0.000550561,0,5.365211736,-0.461944763,0,0,0.060693136,2.778511877
,,,,,,,
0.001101111,0,3.477938227,-0.45805978,0,0,0.059357899,2.780289407
,,,,,,,
0.001651662,0,1.590663487,-0.454174789,0,0,0.058022661,2.78206694
,,,,,,,
0.002202212,0,0,-0.450817324,0,0,0.056858428,2.783611595
,,,,,,,
0.002752763,0,0,-0.450291067,0,0,0.056611499,2.783907095
,,,,,,,
0.003303313,0,0,-0.44976481,0,0,0.05636457,2.784202594
,,,,,,,
0.003853864,0,0,-0.449238553,0,0,0.056117641,2.784498094
,,,,,,,
0.004404414,0,0,-0.448712296,0,0,0.055870712,2.784793594
,,,,,,,
0.004954965,0,0,-0.448186038,0,0,0.055623783,2.785089093
,,,,,,,
0.005505515,0,0,-0.447659781,0,0,0.055376854,2.785384593
,,,,,,,
0.006056066,0,0,-0.447133524,0,0,0.055129925,2.785680093
,,,,,,,
0.006606616,0,0,-0.446607267,0,0,0.054882996,2.785975592
,,,,,,,
0.007157167,0,0,-0.44608101,0,0,0.054636067,2.786271092
,,,,,,,
0.007707718,0,0,-0.445554753,0,0,0.054389138,2.786566592
,,,,,,,
0.008258268,0,0,-0.445028495,0,0,0.054142209,2.786862091
,,,,,,,
0.008808819,0,0,-0.444502238,0,0,0.05389528,2.787157591
,,,,,,,
0.009359369,0,0,-0.443975981,0,0,0.053648351,2.787453091
,,,,,,,
0.00990992,0,0,-0.443449724,0,0,0.053401422,2.78774859
,,,,,,,
0.01046047,0,0,-0.442923467,0,0,0.053154493,2.78804409
,,,,,,,
0.011011021,0,0,-0.442397209,0,0,0.052907564,2.78833959
,,,,,,,
0.011561571,0,0,-0.441870952,0,0,0.052660635,2.788635089
,,,,,,,
0.012112122,0,0,-0.441344695,0,0,0.052413706,2.788930589
,,,,,,,
0.012662672,0,0,-0.440818438,0,0,0.052166777,2.789226088
,,,,,,,
0.013213223,0,0,-0.440292181,0,0,0.051919848,2.789521588
,,,,,,,
0.013763774,0,0,-0.439765923,0,0,0.051672919,2.789817088
,,,,,,,
0.014314324,0,0,-0.439239666,0,0,0.05142599,2.790112587
,,,,,,,
0.014864875,0,0,-0.438713409,0,0,0.051179061,2.790408087
,,,,,,,
0.015415425,0,0,-0.438187152,0,0,0.050932132,2.790703587
,,,,,,,
0.015965976,0,0,-0.437660895,0,0,0.050685203,2.790999086
,,,,,,,
0.016516526,0,0,-0.437134637,0,0,0.050438274,2.791294586
,,,,,,,
0.017067077,0,0,-0.43660838,0,0,0.050191345,2.791590086
,,,,,,,
0.017617627,0,0,-0.436082123,0,0,0.049944416,2.791885585
,,,,,,,
0.018168178,0,0,-0.435555866,0,0,0.049697487,2.792181085
,,,,,,,
0.018718728,0,0,-0.435029609,0,0,0.049450558,2.792476585
,,,,,,,
0.019269279,0,0,-0.434503351,0,0,0.049203629,2.792772084
,,,,,,,
0.019819829,0,0,-0.433977094,0,0,0.0489567,2.793067584
,,,,,,,
0.02037038,0,0,-0.433450837,0,0,0.048709771,2.793363084
,,,,,,,
0.020920931,0,0,-0.43292458,0,0,0.048462842,2.793658583
,,,,,,,
0.021471481,0,0,-0.432398323,0,0,0.048215913,2.793954083
,,,,,,,
0.022022032,0,0,-0.431872066,0,0,0.047968984,2.794249583
,,,,,,,
0.022572582,0,0,-0.431345808,0,0,0.047722055,2.794545082
,,,,,,,
0.023123133,0,0,-0.430819551,0,0,0.047475126,2.794840582
,,,,,,,
0.023673683,0,0,-0.430293294,0,0,0.047228197,2.795136082
,,,,,,,
0.024224234,0,0,-0.429767037,0,0,0.046981268,2.795431581
,,,,,,,
0.024774784,0,0,-0.42924078,0,0,0.046734339,2.795727081
,,,,,,,
0.025325335,0,0,-0.428714522,0,0,0.04648741,2.796022581
,,,,,,,
0.025875885,0,0,-0.428188265,0,0,0.046240481,2.79631808
,,,,,,,
0.026426436,0,0,-0.427662008,0,0,0.045993552,2.79661358
,,,,,,,
0.026976986,0,0,-0.427135751,0,0,0.045746623,2.79690908
,,,,,,,
0.027527537,0,0,-0.426609494,0,0,0.045499694,2.797204579
,,,,,,,
0.028078088,0,0,-0.426083236,0,0,0.045252765,2.797500079
,,,,,,,
0.028628638,0,0,-0.425556979,0,0,0.045005836,2.797795579
,,,,,,,
0.029179189,0,0,-0.425030722,0,0,0.044758907,2.798091078
,,,,,,,
0.029729739,0,0,-0.424504465,0,0,0.044511978,2.798386578
,,,,,,,
0.03028029,0,0,-0.423978208,0,0,0.044265049,2.798682078
,,,,,,,
0.03083084,0,0,-0.42345195,0,0,0.04401812,2.798977577
,,,,,,,
0.031381391,0,0,-0.422925693,0,0,0.043771191,2.799273077
,,,,,,,
0.031931941,0,0,-0.422399436,0,0,0.043524262,2.799568577
,,,,,,,
0.032482492,0,0,-0.421873179,0,0,0.043277333,2.799864076
,,,,,,,
0.033033042,0,0,-0.421346922,0,0,0.043030404,2.800159576
,,,,,,,
0.033583593,0,0,-0.420820664,0,0,0.042783475,2.800455076
,,,,,,,
0.034134144,0,0,-0.420294407,0,0,0.042536546,2.800750575
,,,,,,,
0.034684694,0,0,-0.41976815,0,0,0.042289617,2.801046075
,,,,,,,
0.035235245,0,0,-0.419241893,0,0,0.042042688,2.801341574
,,,,,,,
0.035785795,0,0,-0.418715636,0,0,0.041795759,2.801637074
,,,,,,,
0.036336346,0,0,-0.418189379,0,0,0.04154883,2.801932574
,,,,,,,
0.036886896,0,0,-0.417663121,0,0,0.041301901,2.802228073
,,,,,,,
0.037437447,0,0,-0.417136864,0,0,0.041054972,2.802523573
,,,,,,,
0.037987997,0,0,-0.416610607,0,0,0.040808043,2.802819073
,,,,,,,
0.038538548,0,0,-0.41608435,0,0,0.040561114,2.803114572
,,,,,,,
0.039089098,0,0,-0.415558093,0,0,0.040314185,2.803410072
,,,,,,,
0.039639649,0,0,-0.415031835,0,0,0.040067256,2.803705572
,,,,,,,
0.040190199,0,0,-0.414505578,0,0,0.039820327,2.804001071
,,,,,,,
0.04074075,0,0,-0.413979321,0,0,0.039573398,2.804296571
,,,,,,,
0.041291301,0,0,-0.413453064,0,0,0.039326469,2.804592071
,,,,,,,
0.041841851,0,0,-0.412926807,0,0,0.03907954,2.80488757
,,,,,,,
0.042392402,0,0,-0.412400549,0,0,0.038832611,2.80518307
,,,,,,,
0.042942952,0,0,-0.411874292,0,0,0.038585682,2.80547857
,,,,,,,
0.043493503,0,0,-0.411348035,0,0,0.038338753,2.805774069
,,,,,,,
0.044044053,0,0,-0.410821778,0,0,0.038091824,2.806069569
,,,,,,,
0.044594604,0,0,-0.410295521,0,0,0.037844895,2.806365069
,,,,,,,
0.045145154,0,0,-0.409769263,0,0,0.037597966,2.806660568
,,,,,,,
0.045695705,0,0,-0.409243006,0,0,0.037351037,2.806956068
,,,,,,,
0.046246255,0,0,-0.408716749,0,0,0.037104108,2.807251568
,,,,,,,
0.046796806,0,0,-0.408190492,0,0,0.036857179,2.807547067
,,,,,,,
0.047347356,0,0,-0.407664235,0,0,0.03661025,2.807842567
,,,,,,,
0.047897907,0,0,-0.407137977,0,0,0.036363321,2.808138067
,,,,,,,
0.048448458,0,0,-0.40661172,0,0,0.036116392,2.808433566
,,,,,,,
0.048999008,0,0,-0.406085463,0,0,0.035869463,2.808729066
,,,,,,,
0.049549559,0,0,-0.405559206,0,0,0.035622534,2.809024566
,,,,,,,
0.050100109,0,0,-0.405032949,0,0,0.035375605,2.809320065
,,,,,,,
0.05065066,0,0,-0.404506691,0,0,0.035128676,2.809615565
,,,,,,,
0.05120121,0,0,-0.403980434,0,0,0.034881747,2.809911065
,,,,,,,
0.051751761,0,0,-0.403454177,0,0,0.034634818,2.810206564
,,,,,,,
0.052302311,0,0,-0.40292792,0,0,0.034387889,2.810502064
,,,,,,,
0.052852862,0,0,-0.402401663,0,0,0.03414096,2.810797564
,,,,,,,
0.053403412,0,0,-0.401875406,0,0,0.033894031,2.811093063
,,,,,,,
0.053953963,0,0,-0.401349148,0,0,0.033647102,2.811388563
,,,,,,,
0.054504514,0,0,-0.400822891,0,0,0.033400173,2.811684063
,,,,,,,
0.055055064,0,0,-0.400296634,0,0,0.033153244,2.811979562
,,,,,,,
0.055605615,0,0,-0.399770377,0,0,0.032906315,2.812275062
,,,,,,,
0.056156165,0,0,-0.39924412,0,0,0.032659386,2.812570562
,,,,,,,
0.056706716,0,0,-0.398717862,0,0,0.032412457,2.812866061
,,,,,,,
0.057257266,0,0,-0.398191605,0,0,0.032165528,2.813161561
,,,,,,,
0.057807817,0,0,-0.397665348,0,0,0.031918598,2.81345706
,,,,,,,
0.058358367,0,0,-0.397139091,0,0,0.031671669,2.81375256
,,,,,,,
0.058908918,0,0,-0.396612834,0,0,0.03142474,2.81404806
,,,,,,,
0.059459468,0,0,-0.396086576,0,0,0.031177811,2.814343559
,,,,,,,
0.060010019,0,0,-0.395560319,0,0,0.030930882,2.814639059
,,,,,,,
0.060560569,0,0,-0.395034062,0,0,0.030683953,2.814934559
,,,,,,,
0.06111112,0,0,-0.394507805,0,0,0.030437024,2.815230058
,,,,,,,
